Wed May 20 14:03:51 BST 2015,233,D2:39:1D:79:43:7B,-69,C4:A7:11:A1:77:3D,-70,DD:C7:A7:28:92:8F,-70
Wed May 20 14:03:52 BST 2015,234,DD:C7:A7:28:92:8F,-67,C4:A7:11:A1:77:3D,-70,D2:39:1D:79:43:7B,-72
Wed May 20 14:03:53 BST 2015,235,DD:C7:A7:28:92:8F,-65,D2:39:1D:79:43:7B,-70,C4:A7:11:A1:77:3D,-71
Wed May 20 14:03:54 BST 2015,236,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-75
Wed May 20 14:03:55 BST 2015,237,DD:C7:A7:28:92:8F,-66,D2:39:1D:79:43:7B,-68,C4:A7:11:A1:77:3D,-71
Wed May 20 14:03:56 BST 2015,238,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-73
Wed May 20 14:03:57 BST 2015,239,DD:C7:A7:28:92:8F,-67,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-71
Wed May 20 14:03:58 BST 2015,240,DD:C7:A7:28:92:8F,-67,C4:A7:11:A1:77:3D,-73,D2:39:1D:79:43:7B,-75
Wed May 20 14:04:00 BST 2015,241,DD:C7:A7:28:92:8F,-68,C4:A7:11:A1:77:3D,-73,D2:39:1D:79:43:7B,-82
Wed May 20 14:04:01 BST 2015,242,C4:A7:11:A1:77:3D,-69,DD:C7:A7:28:92:8F,-69,D2:39:1D:79:43:7B,-86
Wed May 20 14:04:02 BST 2015,243,DD:C7:A7:28:92:8F,-68,C4:A7:11:A1:77:3D,-69,D2:39:1D:79:43:7B,-87
Wed May 20 14:04:03 BST 2015,244,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-72,D2:39:1D:79:43:7B,-89
Wed May 20 14:04:04 BST 2015,245,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-72,D2:39:1D:79:43:7B,-86
Wed May 20 14:04:05 BST 2015,246,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-73,D2:39:1D:79:43:7B,-82
Wed May 20 14:04:06 BST 2015,247,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-73,D2:39:1D:79:43:7B,-83
Wed May 20 14:04:07 BST 2015,248,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-72,D2:39:1D:79:43:7B,-80
Wed May 20 14:04:08 BST 2015,249,D2:39:1D:79:43:7B,-68,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-72
Wed May 20 14:04:09 BST 2015,250,DD:C7:A7:28:92:8F,-68,C4:A7:11:A1:77:3D,-70,D2:39:1D:79:43:7B,-72
Wed May 20 14:04:10 BST 2015,251,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-70,D2:39:1D:79:43:7B,-76
Wed May 20 14:04:11 BST 2015,252,C4:A7:11:A1:77:3D,-70,D2:39:1D:79:43:7B,-82,DD:C7:A7:28:92:8F,-91
Wed May 20 14:04:12 BST 2015,253,C4:A7:11:A1:77:3D,-70,DD:C7:A7:28:92:8F,-77,D2:39:1D:79:43:7B,-81
Wed May 20 14:04:13 BST 2015,254,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-70,D2:39:1D:79:43:7B,-82
Wed May 20 14:04:14 BST 2015,255,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-79
Wed May 20 14:04:16 BST 2015,256,C4:A7:11:A1:77:3D,-71,DD:C7:A7:28:92:8F,-71,D2:39:1D:79:43:7B,-79
Wed May 20 14:04:17 BST 2015,257,C4:A7:11:A1:77:3D,-71,DD:C7:A7:28:92:8F,-71,D2:39:1D:79:43:7B,-84
Wed May 20 14:04:18 BST 2015,258,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-83
Wed May 20 14:04:19 BST 2015,259,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-85
Wed May 20 14:04:20 BST 2015,260,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-83
Wed May 20 14:04:21 BST 2015,261,C4:A7:11:A1:77:3D,-69,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-85
Wed May 20 14:04:22 BST 2015,262,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-71,D2:39:1D:79:43:7B,-84
Wed May 20 14:04:23 BST 2015,263,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-85
Wed May 20 14:04:24 BST 2015,264,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-87
Wed May 20 14:04:25 BST 2015,265,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-82
Wed May 20 14:04:26 BST 2015,266,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-72,D2:39:1D:79:43:7B,-85
Wed May 20 14:04:27 BST 2015,267,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-86
Wed May 20 14:04:28 BST 2015,268,C4:A7:11:A1:77:3D,-70,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-87
Wed May 20 14:04:29 BST 2015,269,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-89
Wed May 20 14:04:30 BST 2015,270,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-88
Wed May 20 14:04:31 BST 2015,271,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-86
Wed May 20 14:04:33 BST 2015,272,DD:C7:A7:28:92:8F,-69,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-85
Wed May 20 14:04:34 BST 2015,273,C4:A7:11:A1:77:3D,-70,DD:C7:A7:28:92:8F,-71,D2:39:1D:79:43:7B,-81
Wed May 20 14:04:35 BST 2015,274,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-87
Wed May 20 14:04:36 BST 2015,275,C4:A7:11:A1:77:3D,-71,DD:C7:A7:28:92:8F,-76,D2:39:1D:79:43:7B,-85
Wed May 20 14:04:37 BST 2015,276,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-82
Wed May 20 14:04:38 BST 2015,277,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-86
Wed May 20 14:04:39 BST 2015,278,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-87
Wed May 20 14:04:40 BST 2015,279,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-88
Wed May 20 14:04:41 BST 2015,280,C4:A7:11:A1:77:3D,-67,DD:C7:A7:28:92:8F,-70,D2:39:1D:79:43:7B,-87
Wed May 20 14:04:42 BST 2015,281,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-72,D2:39:1D:79:43:7B,-87
Wed May 20 14:04:43 BST 2015,282,DD:C7:A7:28:92:8F,-70,C4:A7:11:A1:77:3D,-71,D2:39:1D:79:43:7B,-82
